date,count
09 Mar 1916,3
10 Mar 1916,4
11 Mar 1916,1
12 Mar 1916,1
13 Mar 1916,2
14 Mar 1916,5
15 Mar 1916,9
16 Mar 1916,3
17 Mar 1916,3
18 Mar 1916,4
19 Mar 1916,2
20 Mar 1916,3
21 Mar 1916,3
22 Mar 1916,2
23 Mar 1916,3
24 Mar 1916,1
25 Mar 1916,5
26 Mar 1916,1
27 Mar 1916,4
28 Mar 1916,4
29 Mar 1916,4
30 Mar 1916,2
31 Mar 1916,7
01 Apr 1916,2
02 Apr 1916,2
03 Apr 1916,7
04 Apr 1916,1
05 Apr 1916,3
06 Apr 1916,2
07 Apr 1916,2
08 Apr 1916,4
09 Apr 1916,4
10 Apr 1916,9
11 Apr 1916,5
12 Apr 1916,4
13 Apr 1916,4
14 Apr 1916,10
15 Apr 1916,9
16 Apr 1916,3
17 Apr 1916,3
18 Apr 1916,5
19 Apr 1916,31
20 Apr 1916,5
21 Apr 1916,11
22 Apr 1916,7
23 Apr 1916,9
24 Apr 1916,12
25 Apr 1916,7
26 Apr 1916,9
27 Apr 1916,15
28 Apr 1916,4
29 Apr 1916,6
30 Apr 1916,4
01 May 1916,5
02 May 1916,14
03 May 1916,4
04 May 1916,39
05 May 1916,13
06 May 1916,7
07 May 1916,11
08 May 1916,10
09 May 1916,9
10 May 1916,5
11 May 1916,11
12 May 1916,6
13 May 1916,5
14 May 1916,13
15 May 1916,8
16 May 1916,9
17 May 1916,3
18 May 1916,14
19 May 1916,11
20 May 1916,10
21 May 1916,8
22 May 1916,5
23 May 1916,9
24 May 1916,9
25 May 1916,15
26 May 1916,13
27 May 1916,8
28 May 1916,17
29 May 1916,53
30 May 1916,21
31 May 1916,19
01 Jun 1916,10
02 Jun 1916,14
03 Jun 1916,4
04 Jun 1916,14
05 Jun 1916,17
06 Jun 1916,13
07 Jun 1916,7
08 Jun 1916,5
09 Jun 1916,16
10 Jun 1916,13
11 Jun 1916,6
12 Jun 1916,15
13 Jun 1916,5
14 Jun 1916,7
15 Jun 1916,10
16 Jun 1916,9
17 Jun 1916,21
18 Jun 1916,18
19 Jun 1916,16
20 Jun 1916,10
21 Jun 1916,8
22 Jun 1916,21
23 Jun 1916,19
24 Jun 1916,17
25 Jun 1916,12
26 Jun 1916,18
27 Jun 1916,14
28 Jun 1916,44
29 Jun 1916,18
30 Jun 1916,25
01 Jul 1916,36
02 Jul 1916,60
03 Jul 1916,23
04 Jul 1916,30
05 Jul 1916,22
06 Jul 1916,12
07 Jul 1916,15
08 Jul 1916,8
09 Jul 1916,8
10 Jul 1916,15
11 Jul 1916,10
12 Jul 1916,11
13 Jul 1916,12
14 Jul 1916,57
15 Jul 1916,13
16 Jul 1916,22
17 Jul 1916,15
18 Jul 1916,1260
19 Jul 1916,539
20 Jul 1916,66
21 Jul 1916,336
22 Jul 1916,333
23 Jul 1916,205
24 Jul 1916,441
25 Jul 1916,224
26 Jul 1916,160
27 Jul 1916,188
28 Jul 1916,573
29 Jul 1916,92
30 Jul 1916,62
31 Jul 1916,48
01 Aug 1916,61
02 Aug 1916,69
03 Aug 1916,321
04 Aug 1916,509
05 Aug 1916,246
06 Aug 1916,196
07 Aug 1916,177
08 Aug 1916,149
09 Aug 1916,81
10 Aug 1916,76
11 Aug 1916,99
12 Aug 1916,73
13 Aug 1916,155
14 Aug 1916,99
15 Aug 1916,223
16 Aug 1916,90
17 Aug 1916,198
18 Aug 1916,191
19 Aug 1916,83
20 Aug 1916,85
21 Aug 1916,93
22 Aug 1916,100
23 Aug 1916,59
24 Aug 1916,55
25 Aug 1916,175
26 Aug 1916,47
27 Aug 1916,40
28 Aug 1916,76
29 Aug 1916,74
30 Aug 1916,80
31 Aug 1916,41
01 Sep 1916,42
02 Sep 1916,366
03 Sep 1916,162
04 Sep 1916,73
05 Sep 1916,13
06 Sep 1916,18
07 Sep 1916,18
08 Sep 1916,13
09 Sep 1916,10
10 Sep 1916,14
11 Sep 1916,18
12 Sep 1916,19
13 Sep 1916,10
14 Sep 1916,15
15 Sep 1916,28
16 Sep 1916,12
17 Sep 1916,14
18 Sep 1916,4
19 Sep 1916,5
20 Sep 1916,13
21 Sep 1916,15
22 Sep 1916,17
23 Sep 1916,10
24 Sep 1916,14
25 Sep 1916,14
26 Sep 1916,10
27 Sep 1916,27
28 Sep 1916,7
29 Sep 1916,19
30 Sep 1916,26
01 Oct 1916,15
02 Oct 1916,11
03 Oct 1916,13
04 Oct 1916,12
05 Oct 1916,8
06 Oct 1916,9
07 Oct 1916,8
08 Oct 1916,9
09 Oct 1916,15
10 Oct 1916,8
11 Oct 1916,29
12 Oct 1916,17
13 Oct 1916,14
14 Oct 1916,22
15 Oct 1916,17
16 Oct 1916,10
17 Oct 1916,11
18 Oct 1916,4
19 Oct 1916,3
20 Oct 1916,8
21 Oct 1916,17
22 Oct 1916,14
23 Oct 1916,18
24 Oct 1916,25
25 Oct 1916,9
